steps,steps_tile,tiles,moved_tiles
17933,15830,100,145
12502,11255,100,88
126094,117261,100,269
25029,22565,100,96
144465,130122,100,350
12393,11332,100,82
431076,412737,100,411
12000,10485,100,104
12312,10959,100,91
35058,31816,100,149
29335,27416,100,87
59915,56715,100,134
11591,10136,100,95
10058,9117,100,74
12503,11203,100,88
10569,9357,100,83
11732,10504,100,95
9024,7863,100,83
10101,8793,100,81
9639,8556,100,74
8835,7867,100,73
18376,16121,100,141
9463,8367,100,78
10168,9174,100,73
12742,11258,100,99
14801,13374,100,102
13659,12131,100,106
13873,12468,100,95
6441,5735,100,56
9466,8430,100,72
5930,5211,100,54
12321,11118,100,81
